item,label,description,makerLabel,inception
http://www.wikidata.org/entity/Q100261067,Huawei Y9a,smartphone model,Huawei,
http://www.wikidata.org/entity/Q100286751,Sony Xperia 5 II,2020 Android smartphone,Sony Mobile Communications,
http://www.wikidata.org/entity/Q100309371,Samsung A520,digital single-lens camera by Samsung,Samsung Electronics,
http://www.wikidata.org/entity/Q100348826,OnePlus 8T,android-based smartphone manufactured by OnePlus,OnePlus,
http://www.wikidata.org/entity/Q100707241,realme 7 Pro,smartphone by Chinese brand,Realme,
http://www.wikidata.org/entity/Q100939876,Honor 6C,smartphone model,Huawei,
http://www.wikidata.org/entity/Q101071334,Huawei P Smart 2020,2020 Android Smartphone,Huawei,
http://www.wikidata.org/entity/Q102279550,Realme 7,smartphone by Chinese brand,Realme,2020-11-19T00:00:00Z
http://www.wikidata.org/entity/Q103024022,Wiko Lenny 4,mobile phone,Wiko,
http://www.wikidata.org/entity/Q104531763,Xiaomi Mi 11,smartphone model developed by Xiaomi,Xiaomi,
http://www.wikidata.org/entity/Q104772244,Samsung Galaxy A12,2021 Android smartphone,Samsung Electronics,
http://www.wikidata.org/entity/Q104776908,Huawei Y360,Android smartphone developed by Huawei,Huawei,
http://www.wikidata.org/entity/Q104776914,Huawei Y3 2018,smartphone model,Huawei,
http://www.wikidata.org/entity/Q104778308,Meizu PRO 7,android smartphone,Meizu,
http://www.wikidata.org/entity/Q104803350,Nokia 2.4,2020 Nokia smartphone,HMD Global,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q104856680,Moto E,android smartphone developed by Motorola Mobility,Lenovo,
http://www.wikidata.org/entity/Q104859286,Redmi K40,smartphones manufactured by Xiaomi,Xiaomi,
http://www.wikidata.org/entity/Q104861967,Samsung Galaxy F41,mid-range Android phone from Samsung,Samsung Electronics,
http://www.wikidata.org/entity/Q104864961,Samsung Wave 525,budget smartphone,Samsung Electronics,
http://www.wikidata.org/entity/Q104868457,Redmi 8A,smartphone model,Xiaomi,
http://www.wikidata.org/entity/Q104869791,Vivo V3,smartphone manufactured by Vivo,vivo,
http://www.wikidata.org/entity/Q105008153,Huawei Y5p,Huawei smartphone,Huawei,
http://www.wikidata.org/entity/Q105008242,Huawei Y5 2019,Android smartphone,Huawei,
http://www.wikidata.org/entity/Q105176473,Samsung Galaxy S21 Ultra,High-end Android smartphone by Samsung Electronics,Samsung Electronics,
http://www.wikidata.org/entity/Q105176473,Samsung Galaxy S21 Ultra,High-end Android smartphone by Samsung Electronics,Samsung Group,
http://www.wikidata.org/entity/Q105702989,Huawei P40 lite 5G,smartphone,Huawei,
http://www.wikidata.org/entity/Q105763874,Redmi Note 10,android-based smartphones manufactured by Xiaomi Inc,Xiaomi,
http://www.wikidata.org/entity/Q106044016,Samsung Galaxy A52,2022 mid-range Android-based smartphone from Samsung,Samsung Electronics,
http://www.wikidata.org/entity/Q1061068,Sony Ericsson Xperia X1,smartphone model,Sony Mobile Communications,
http://www.wikidata.org/entity/Q106129681,OnePlus 9,android-based smartphone series by OnePlus,OnePlus,
http://www.wikidata.org/entity/Q106153498,Realme Narzo 30 Pro,android-based smartphone manufactured by Realme,Realme,2021-02-24T00:00:00Z
http://www.wikidata.org/entity/Q106517957,Honor Bee,smartphone model,Huawei,
http://www.wikidata.org/entity/Q1065197,Nokia N82,smartphone model by Nokia,Nokia,
http://www.wikidata.org/entity/Q106581484,Sony Xperia 10 III,android smartphone,Sony Mobile Communications,
http://www.wikidata.org/entity/Q106589768,Samsung Galaxy A32 5G,smartphone model,Samsung Electronics,
http://www.wikidata.org/entity/Q106661429,Xiaomi Mi 11 Ultra,smartphone model,Xiaomi,
http://www.wikidata.org/entity/Q106872250,Oppo A94,2021 Android smartphones from Oppo,Oppo,
http://www.wikidata.org/entity/Q106936054,Huawei GR3,android smartphone developed by Huawei,Huawei,
http://www.wikidata.org/entity/Q106936175,Huawei Y6 II,2016 smartphone model,Huawei,
http://www.wikidata.org/entity/Q107001621,Asus ZenFone 8,2021 Asus flagship smartphone,ASUS,
